ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
001,Adamantina,,,,,,R$ 8.283.795,35.5%,2.673,001_Adamantina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/001_Adamantina.pdf
002,Adolfo,,,,,,R$ 3.058.206,50.37%,732,002_Adolfo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/002_Adolfo.pdf
003,Aguaí,,,,,,R$ 12.898.505,41.8%,3.818,003_Aguaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/003_Agua%C3%AD.pdf
004,Águas da Prata,,,,,,R$ 2.539.932,69.61%,476,004_Águas_da_Prata.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/004_%C3%81guas_da_Prata.pdf
005,Águas de Lindóia,,,,,,R$ 4.829.715,23.78%,2.279,005_Águas_de_Lindóia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/005_%C3%81guas_de_Lind%C3%B3ia.pdf
006,Águas de Santa Bárbara,,,,,,R$ 3.354.880,49.75%,819,006_Águas_de_Santa_Bárbara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/006_%C3%81guas_de_Santa_B%C3%A1rbara.pdf
007,Águas de São Pedro,,,,,,R$ 1.719.348,24.75%,716,007_Águas_de_São_Pedro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/007_%C3%81guas_de_S%C3%A3o_Pedro.pdf
008,Agudos,,,,,,R$ 12.030.294,36.78%,3.878,008_Agudos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/008_Agudos.pdf
009,Alambari,,,,,,R$ 2.902.098,55.02%,661,009_Alambari.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/009_Alambari.pdf
010,Alfredo Marcondes,,,,,,R$ 1.268.711,64.64%,195,010_Alfredo_Marcondes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/010_Alfredo_Marcondes.pdf
011,Altair,,,,,,R$ 1.438.918,44.04%,385,011_Altair.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/011_Altair.pdf
012,Altinópolis,,,,,,R$ 3.127.868,15.74%,2.057,012_Altinópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/012_Altin%C3%B3polis.pdf
013,Alto Alegre,,,,,,R$ 1.568.697,62.8%,316,013_Alto_Alegre.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/013_Alto_Alegre.pdf
014,Alumínio,,,,,,R$ 8.515.844,37.62%,2.638,014_Alumínio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/014_Alum%C3%ADnio.pdf
015,Álvares Florence,,,,,,R$ 1.474.566,38.64%,400,015_Álvares_Florence.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/015_%C3%81lvares_Florence.pdf
016,Álvares Machado,,,,,,R$ 10.828.487,38.01%,3.642,016_Álvares_Machado.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/016_%C3%81lvares_Machado.pdf
017,Álvaro de Carvalho,,,,,,R$ 1.599.613,53.74%,345,017_Álvaro_de_Carvalho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/017_%C3%81lvaro_de_Carvalho.pdf
018,Alvinlândia,,,,,,R$ 1.742.008,52.17%,406,018_Alvinlândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/018_Alvinl%C3%A2ndia.pdf
019,Americana,,,,,,R$ 38.988.651,33.73%,13.519,019_Americana.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/019_Americana.pdf
020,Américo Brasiliense,,,,,,R$ 16.377.539,41.56%,4.853,020_Américo_Brasiliense.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/020_Am%C3%A9rico_Brasiliense.pdf
021,Américo de Campos,,,,,,R$ 1.495.188,20.62%,770,021_Américo_de_Campos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/021_Am%C3%A9rico_de_Campos.pdf
022,Amparo,,,,,,R$ 17.086.013,38.5%,5.192,022_Amparo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/022_Amparo.pdf
023,Ibirarema,,,,,,R$ 2.508.957,44.91%,687,023_Ibirarema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/023_Ibirarema.pdf
024,Analândia,,,,,,R$ 3.588.239,51.78%,847,024_Analândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/024_Anal%C3%A2ndia.pdf
025,Andradina,,,,,,R$ 16.203.052,40.12%,4.788,025_Andradina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/025_Andradina.pdf
026,Angatuba,,,,,,R$ 14.394.194,45.52%,3.761,026_Angatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/026_Angatuba.pdf
027,Anhembi,,,,,,R$ 4.380.013,50.82%,1.093,027_Anhembi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/027_Anhembi.pdf
028,Anhumas,,,,,,R$ 1.597.152,41.64%,442,028_Anhumas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/028_Anhumas.pdf
029,Aparecida,,,,,,R$ 16.310.637,43.54%,4.626,029_Aparecida.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/029_Aparecida.pdf
030,Aparecida DOeste,,,,,,R$ 1.567.629,49.35%,360,030_Aparecida_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/030_Aparecida_DOeste.pdf
031,Apiaí,,,,,,R$ 3.900.175,19.38%,2.063,031_Apiaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/031_Apia%C3%AD.pdf
032,Araçariguama,,,,,,R$ 13.693.373,41.23%,4.193,032_Araçariguama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/032_Ara%C3%A7ariguama.pdf
033,Araçatuba,,,,,,R$ 47.876.854,32.9%,16.533,033_Araçatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/033_Ara%C3%A7atuba.pdf
034,Araçoiaba da Serra,,,,,,R$ 18.700.768,44.48%,5.258,034_Araçoiaba_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/034_Ara%C3%A7oiaba_da_Serra.pdf
035,Aramina,,,,,,R$ 2.548.334,57.41%,549,035_Aramina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/035_Aramina.pdf
036,Arandu,,,,,,R$ 2.799.856,41.43%,832,036_Arandu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/036_Arandu.pdf
037,Arapeí,,,,,,R$ 1.928.945,69.01%,370,037_Arapeí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/037_Arape%C3%AD.pdf
038,Araraquara,,,,,,R$ 48.206.846,30.72%,17.610,038_Araraquara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/038_Araraquara.pdf
039,Araras,,,,,,R$ 50.215.796,41.83%,14.895,039_Araras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/039_Araras.pdf
040,Arco-Íris,,,,,,R$ 1.086.877,61.31%,206,040_Arco-Íris.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/040_Arco-%C3%8Dris.pdf
041,Arealva,,,,,,R$ 2.382.169,34.34%,790,041_Arealva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/041_Arealva.pdf
042,Areias,,,,,,R$ 2.679.870,61.95%,593,042_Areias.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/042_Areias.pdf
043,Areiópolis,,,,,,R$ 5.083.595,36.62%,1.716,043_Areiópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/043_Arei%C3%B3polis.pdf
044,Ariranha,,,,,,R$ 2.272.511,39.23%,665,044_Ariranha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/044_Ariranha.pdf
045,Artur Nogueira,,,,,,R$ 19.038.517,43.16%,5.397,045_Artur_Nogueira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/045_Artur_Nogueira.pdf
046,Arujá,,,,,,R$ 35.709.825,42.2%,10.415,046_Arujá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/046_Aruj%C3%A1.pdf
047,Aspásia,,,,,,R$ 925.931,90.64%,115,047_Aspásia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/047_Asp%C3%A1sia.pdf
048,Assis,,,,,,R$ 19.536.222,23.62%,8.881,048_Assis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/048_Assis.pdf
049,Atibaia,,,,,,R$ 46.534.982,32.1%,15.989,049_Atibaia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/049_Atibaia.pdf
050,Auriflama,,,,,,R$ 4.225.672,44.78%,1.138,050_Auriflama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/050_Auriflama.pdf
051,Avaí,,,,,,R$ 2.593.262,67.82%,503,051_Avaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/051_Ava%C3%AD.pdf
052,Avanhandava,,,,,,R$ 2.338.366,22.8%,1.145,052_Avanhandava.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/052_Avanhandava.pdf
053,Avaré,,,,,,R$ 30.970.966,45.71%,8.584,053_Avaré.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/053_Avar%C3%A9.pdf
054,Bady Bassitt,,,,,,R$ 14.198.228,43.81%,4.113,054_Bady_Bassitt.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/054_Bady_Bassitt.pdf
055,Balbinos,,,,,,R$ 1.311.143,109.22%,143,055_Balbinos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/055_Balbinos.pdf
056,Bálsamo,,,,,,R$ 3.023.571,43.72%,853,056_Bálsamo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/056_B%C3%A1lsamo.pdf
057,Bananal,,,,,,R$ 4.906.527,48.16%,1.297,057_Bananal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/057_Bananal.pdf
058,Barão de Antonina,,,,,,R$ 1.980.634,76.45%,335,058_Barão_de_Antonina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/058_Bar%C3%A3o_de_Antonina.pdf
059,Barbosa,,,,,,R$ 1.911.833,25.1%,757,059_Barbosa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/059_Barbosa.pdf
060,Bariri,,,,,,R$ 11.282.524,37.8%,3.802,060_Bariri.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/060_Bariri.pdf
061,Barra Bonita,,,,,,R$ 6.938.337,35.06%,2.452,061_Barra_Bonita.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/061_Barra_Bonita.pdf
062,Barra do Chapéu,,,,,,R$ 1.807.053,24.95%,694,062_Barra_do_Chapéu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/062_Barra_do_Chap%C3%A9u.pdf
063,Barra do Turvo,,,,,,R$ 3.058.536,51.56%,766,063_Barra_do_Turvo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/063_Barra_do_Turvo.pdf
064,Barretos,,,,,,R$ 24.074.038,19.91%,12.885,064_Barretos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/064_Barretos.pdf
065,Barrinha,,,,,,R$ 19.852.923,46.5%,5.467,065_Barrinha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/065_Barrinha.pdf
066,Barueri,,,,,,R$ 237.162.702,46.73%,65.764,066_Barueri.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/066_Barueri.pdf
067,Bastos,,,,,,R$ 7.744.749,42.72%,2.198,067_Bastos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/067_Bastos.pdf
068,Batatais,,,,,,R$ 13.158.618,31.97%,5.058,068_Batatais.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/068_Batatais.pdf
069,Bauru,,,,,,R$ 68.961.268,34.71%,23.285,069_Bauru.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/069_Bauru.pdf
070,Bebedouro,,,,,,R$ 19.378.598,34.24%,6.613,070_Bebedouro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/070_Bebedouro.pdf
071,Bento de Abreu,,,,,,R$ 1.727.075,74.81%,279,071_Bento_de_Abreu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/071_Bento_de_Abreu.pdf
072,Bernardino de Campos,,,,,,R$ 3.616.780,40.94%,1.088,072_Bernardino_de_Campos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/072_Bernardino_de_Campos.pdf
073,Bertioga,,,,,,R$ 24.169.841,29.16%,9.229,073_Bertioga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/073_Bertioga.pdf
074,Bilac,,,,,,R$ 2.515.784,41.93%,691,074_Bilac.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/074_Bilac.pdf
075,Birigui,,,,,,R$ 35.439.404,39.97%,10.756,075_Birigui.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/075_Birigui.pdf
076,Biritiba Mirim,,,,,,R$ 11.734.789,50.17%,2.967,076_Biritiba_Mirim.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/076_Biritiba_Mirim.pdf
077,Boa Esperança do Sul,,,,,,R$ 7.365.694,39.93%,2.225,077_Boa_Esperança_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/077_Boa_Esperan%C3%A7a_do_Sul.pdf
078,Bocaina,,,,,,R$ 4.472.784,58.2%,1.010,078_Bocaina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/078_Bocaina.pdf
079,Bofete,,,,,,R$ 5.929.872,51.25%,1.479,079_Bofete.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/079_Bofete.pdf
080,Boituva,,,,,,R$ 34.161.653,44.47%,9.570,080_Boituva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/080_Boituva.pdf
081,bom jesus dos perdoes,,,,,,R$ 9.190.719,40.67%,2.737,081_bom_jesus_dos_perdoes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/081_bom_jesus_dos_perdoes.pdf
082,Bom Sucesso de Itararé,,,,,,R$ 2.586.693,65.24%,519,082_Bom_Sucesso_de_Itararé.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/082_Bom_Sucesso_de_Itarar%C3%A9.pdf
083,Borá,,,,,,R$ 1.220.578,158.97%,103,083_Borá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/083_Bor%C3%A1.pdf
084,Boracéia,,,,,,R$ 2.526.861,49.63%,605,084_Boracéia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/084_Borac%C3%A9ia.pdf
085,Borborema,,,,,,R$ 2.690.315,28.96%,962,085_Borborema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/085_Borborema.pdf
086,Borebi,,,,,,R$ 1.707.214,28.43%,642,086_Borebi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/086_Borebi.pdf
087,Botucatu,,,,,,R$ 38.191.144,27.34%,15.816,087_Botucatu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/087_Botucatu.pdf
088,Bragança Paulista,,,,,,R$ 42.092.627,31.33%,15.417,088_Bragança_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/088_Bragan%C3%A7a_Paulista.pdf
089,Braúna,,,,,,R$ 1.980.083,36.11%,634,089_Braúna.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/089_Bra%C3%BAna.pdf
090,Brejo Alegre,,,,,,R$ 1.270.318,42.51%,290,090_Brejo_Alegre.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/090_Brejo_Alegre.pdf
091,Brodowski,,,,,,R$ 9.436.705,33.41%,3.441,091_Brodowski.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/091_Brodowski.pdf
092,Brotas,,,,,,R$ 9.164.735,41.73%,2.673,092_Brotas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/092_Brotas.pdf
093,Buri,,,,,,R$ 12.565.990,37.16%,4.099,093_Buri.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/093_Buri.pdf
094,Buritama,,,,,,R$ 6.095.640,48.76%,1.565,094_Buritama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/094_Buritama.pdf
095,Buritizal,,,,,,R$ 2.339.742,45.64%,637,095_Buritizal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/095_Buritizal.pdf
096,Cabrália Paulista,,,,,,R$ 2.192.717,61.55%,447,096_Cabrália_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/096_Cabr%C3%A1lia_Paulista.pdf
097,Cabreúva,,,,,,R$ 25.237.295,49.99%,6.607,097_Cabreúva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/097_Cabre%C3%BAva.pdf
098,Caçapava,,,,,,R$ 33.693.001,45.72%,9.028,098_Caçapava.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/098_Ca%C3%A7apava.pdf
099,Cachoeira Paulista,,,,,,R$ 9.642.259,49.6%,2.394,099_Cachoeira_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/099_Cachoeira_Paulista.pdf
100,Caconde,,,,,,R$ 5.733.555,48.05%,1.465,100_Caconde.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/100_Caconde.pdf
101,Cafelândia,,,,,,R$ 4.990.756,38.9%,1.498,101_Cafelândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/101_Cafel%C3%A2ndia.pdf
102,Caiabu,,,,,,R$ 1.555.275,55.02%,330,102_Caiabu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/102_Caiabu.pdf
103,Caieiras,,,,,,R$ 35.578.817,50.05%,9.383,103_Caieiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/103_Caieiras.pdf
104,Caiuá,,,,,,R$ 1.598.538,57.18%,346,104_Caiuá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/104_Caiu%C3%A1.pdf
105,Cajamar,,,,,,R$ 50.069.868,35.99%,17.501,105_Cajamar.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/105_Cajamar.pdf
106,Cajati,,,,,,R$ 13.660.983,48.06%,3.370,106_Cajati.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/106_Cajati.pdf
107,Cajobi,,,,,,R$ 5.078.578,46.61%,1.356,107_Cajobi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/107_Cajobi.pdf
108,Cajuru,,,,,,R$ 7.714.262,35.15%,2.559,108_Cajuru.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/108_Cajuru.pdf
109,Campina do Monte Alegre,,,,,,R$ 4.777.760,56.53%,1.026,109_Campina_do_Monte_Alegre.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/109_Campina_do_Monte_Alegre.pdf
110,Campinas,,,,,,R$ 164.064.152,30.74%,62.875,110_Campinas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/110_Campinas.pdf
111,Campo Limpo Paulista,,,,,,R$ 36.741.660,47.41%,9.968,111_Campo_Limpo_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/111_Campo_Limpo_Paulista.pdf
112,Campos do Jordão,,,,,,R$ 22.715.356,35.23%,7.590,112_Campos_do_Jordão.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/112_Campos_do_Jord%C3%A3o.pdf
113,Campos Novos Paulista,,,,,,R$ 2.613.918,54.39%,612,113_Campos_Novos_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/113_Campos_Novos_Paulista.pdf
114,Cananéia,,,,,,R$ 5.945.020,57.38%,1.328,114_Cananéia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/114_Canan%C3%A9ia.pdf
115,Canas,,,,,,R$ 4.067.963,58.38%,929,115_Canas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/115_Canas.pdf
116,Cândido Mota,,,,,,R$ 8.629.431,40.57%,2.477,116_Cândido_Mota.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/116_C%C3%A2ndido_Mota.pdf
117,Cândido Rodrigues,,,,,,R$ 1.205.192,29.41%,418,117_Cândido_Rodrigues.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/117_C%C3%A2ndido_Rodrigues.pdf
118,Canitar,,,,,,R$ 4.984.912,56.67%,1.190,118_Canitar.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/118_Canitar.pdf
119,Capão Bonito,,,,,,R$ 24.201.923,42.3%,6.934,119_Capão_Bonito.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/119_Cap%C3%A3o_Bonito.pdf
120,Capela do Alto,,,,,,R$ 14.773.178,47.9%,3.898,120_Capela_do_Alto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/120_Capela_do_Alto.pdf
121,Capivari,,,,,,R$ 15.303.953,28.45%,6.438,121_Capivari.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/121_Capivari.pdf
122,Caraguatatuba,,,,,,R$ 68.176.711,38.03%,21.187,122_Caraguatatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/122_Caraguatatuba.pdf
123,Carapicuíba,,,,,,R$ 62.476.244,38.99%,19.476,123_Carapicuíba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/123_Carapicu%C3%ADba.pdf
124,Cardoso,,,,,,R$ 3.314.420,33.7%,1.180,124_Cardoso.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/124_Cardoso.pdf
125,Casa Branca,,,,,,R$ 5.862.089,25.54%,2.474,125_Casa_Branca.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/125_Casa_Branca.pdf
126,Cássia dos Coqueiros,,,,,,R$ 2.356.731,67.44%,442,126_Cássia_dos_Coqueiros.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/126_C%C3%A1ssia_dos_Coqueiros.pdf
127,Castilho,,,,,,R$ 7.143.079,39.01%,2.289,127_Castilho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/127_Castilho.pdf
128,Catanduva,,,,,,R$ 21.992.801,24.72%,9.959,128_Catanduva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/128_Catanduva.pdf
129,Catiguá,,,,,,R$ 2.765.297,58.63%,561,129_Catiguá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/129_Catigu%C3%A1.pdf
130,Cedral,,,,,,R$ 8.002.352,49.44%,2.090,130_Cedral.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/130_Cedral.pdf
131,Cerqueira César,,,,,,R$ 8.154.828,46.27%,2.197,131_Cerqueira_César.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/131_Cerqueira_C%C3%A9sar.pdf
132,Cerquilho,,,,,,R$ 22.265.547,46.46%,6.151,132_Cerquilho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/132_Cerquilho.pdf
133,Cesário Lange,,,,,,R$ 12.955.282,47.0%,3.424,133_Cesário_Lange.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/133_Ces%C3%A1rio_Lange.pdf
134,Charqueada,,,,,,R$ 5.860.036,29.45%,2.384,134_Charqueada.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/134_Charqueada.pdf
135,Chavantes,,,,,,R$ 5.882.546,55.32%,1.414,135_Chavantes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/135_Chavantes.pdf
136,Clementina,,,,,,R$ 2.705.252,34.09%,848,136_Clementina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/136_Clementina.pdf
137,Colina,,,,,,R$ 6.865.913,29.74%,2.705,137_Colina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/137_Colina.pdf
138,Colômbia,,,,,,R$ 3.477.599,26.87%,1.459,138_Colômbia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/138_Col%C3%B4mbia.pdf
139,Conchal,,,,,,R$ 11.684.742,38.57%,3.589,139_Conchal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/139_Conchal.pdf
140,Conchas,,,,,,R$ 5.944.228,32.7%,2.061,140_Conchas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/140_Conchas.pdf
141,Cordeirópolis,,,,,,R$ 7.893.048,28.16%,3.105,141_Cordeirópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/141_Cordeir%C3%B3polis.pdf
142,Coroados,,,,,,R$ 2.581.100,59.79%,523,142_Coroados.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/142_Coroados.pdf
143,Coronel Macedo,,,,,,R$ 1.018.850,22.22%,435,143_Coronel_Macedo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/143_Coronel_Macedo.pdf
144,Corumbataí,,,,,,R$ 3.265.361,50.77%,786,144_Corumbataí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/144_Corumbata%C3%AD.pdf
145,Cosmópolis,,,,,,R$ 28.062.017,43.55%,7.969,145_Cosmópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/145_Cosm%C3%B3polis.pdf
146,Cosmorama,,,,,,R$ 4.380.152,46.19%,1.192,146_Cosmorama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/146_Cosmorama.pdf
147,Cotia,,,,,,R$ 114.530.486,47.54%,31.088,147_Cotia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/147_Cotia.pdf
148,Cravinhos,,,,,,R$ 11.659.456,38.57%,3.772,148_Cravinhos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/148_Cravinhos.pdf
149,Cristais Paulista,,,,,,R$ 5.451.063,43.29%,1.592,149_Cristais_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/149_Cristais_Paulista.pdf
150,Cruzália,,,,,,R$ 1.042.078,46.16%,225,150_Cruzália.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/150_Cruz%C3%A1lia.pdf
151,Cruzeiro,,,,,,R$ 25.634.000,46.34%,6.846,151_Cruzeiro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/151_Cruzeiro.pdf
152,Cubatão,,,,,,R$ 47.360.023,41.61%,14.328,152_Cubatão.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/152_Cubat%C3%A3o.pdf
153,Cunha,,,,,,R$ 7.788.811,53.42%,1.887,153_Cunha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/153_Cunha.pdf
154,Descalvado,,,,,,R$ 15.267.188,46.84%,4.041,154_Descalvado.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/154_Descalvado.pdf
155,Diadema,,,,,,R$ 70.510.131,27.04%,28.146,155_Diadema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/155_Diadema.pdf
156,Dirce Reis,,,,,,R$ 1.130.299,103.34%,118,156_Dirce_Reis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/156_Dirce_Reis.pdf
157,Divinolândia,,,,,,R$ 5.720.009,49.59%,1.422,157_Divinolândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/157_Divinol%C3%A2ndia.pdf
