ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
526,Santa Isabel,,,,,,R$ 18.905.952,45.69%,5.137,526_Santa_Isabel.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/526_Santa_Isabel.pdf
527,Santa Lúcia,,,,,,R$ 3.104.310,55.7%,740,527_Santa_Lúcia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/527_Santa_L%C3%BAcia.pdf
528,Santa Maria da Serra,,,,,,R$ 1.739.405,23.48%,734,528_Santa_Maria_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/528_Santa_Maria_da_Serra.pdf
529,Santa Mercedes,,,,,,R$ 1.655.833,56.35%,364,529_Santa_Mercedes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/529_Santa_Mercedes.pdf
530,Santa Rita do Passa Quatro,,,,,,R$ 4.077.644,24.7%,1.871,530_Santa_Rita_do_Passa_Quatro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/530_Santa_Rita_do_Passa_Quatro.pdf
531,Santa Rita DOeste,,,,,,R$ 1.512.325,77.14%,241,531_Santa_Rita_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/531_Santa_Rita_DOeste.pdf
532,Santa Rosa de Viterbo,,,,,,R$ 5.938.560,34.32%,2.046,532_Santa_Rosa_de_Viterbo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/532_Santa_Rosa_de_Viterbo.pdf
533,Santa Salete,,,,,,R$ 917.425,101.35%,100,533_Santa_Salete.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/533_Santa_Salete.pdf
534,Santana da Ponte Pensa,,,,,,R$ 1.040.473,145.45%,72,534_Santana_da_Ponte_Pensa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/534_Santana_da_Ponte_Pensa.pdf
535,Santana de Parnaíba,,,,,,R$ 66.992.614,31.32%,26.492,535_Santana_de_Parnaíba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/535_Santana_de_Parna%C3%ADba.pdf
536,Santo Anastácio,,,,,,R$ 4.874.538,46.82%,1.234,536_Santo_Anastácio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/536_Santo_Anast%C3%A1cio.pdf
537,Santo André,,,,,,R$ 158.749.203,44.34%,44.958,537_Santo_André.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/537_Santo_Andr%C3%A9.pdf
538,Santo Antônio da Alegria,,,,,,R$ 3.962.413,41.85%,1.136,538_Santo_Antônio_da_Alegria.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/538_Santo_Ant%C3%B4nio_da_Alegria.pdf
539,Santo Antônio de Posse,,,,,,R$ 11.725.573,33.99%,4.082,539_Santo_Antônio_de_Posse.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/539_Santo_Ant%C3%B4nio_de_Posse.pdf
540,Santo Antônio do Aracangua,,,,,,R$ 5.475.212,52.66%,1.343,540_Santo_Antônio_do_Aracangua.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/540_Santo_Ant%C3%B4nio_do_Aracangua.pdf
541,Santo Antônio do Jardim,,,,,,R$ 2.701.370,57.88%,586,541_Santo_Antônio_do_Jardim.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/541_Santo_Ant%C3%B4nio_do_Jardim.pdf
542,Santo Antônio do Pinhal,,,,,,R$ 4.871.230,44.9%,1.243,542_Santo_Antônio_do_Pinhal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/542_Santo_Ant%C3%B4nio_do_Pinhal.pdf
543,Santo Expedito,,,,,,R$ 1.764.627,64.86%,333,543_Santo_Expedito.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/543_Santo_Expedito.pdf
544,Santópolis do Aguapeí,,,,,,R$ 1.488.058,29.72%,496,544_Santópolis_do_Aguapeí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/544_Sant%C3%B3polis_do_Aguape%C3%AD.pdf
545,Santos,,,,,,R$ 45.637.995,16.36%,30.295,545_Santos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/545_Santos.pdf
546,São Bento do Sapucaí,,,,,,R$ 3.184.474,47.61%,830,546_São_Bento_do_Sapucaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/546_S%C3%A3o_Bento_do_Sapuca%C3%AD.pdf
547,São Bernardo do Campo,,,,,,R$ 221.053.329,37.23%,72.532,547_São_Bernardo_do_Campo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/547_S%C3%A3o_Bernardo_do_Campo.pdf
548,São Caetano do Sul,,,,,,R$ 51.140.931,33.71%,17.931,548_São_Caetano_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/548_S%C3%A3o_Caetano_do_Sul.pdf
549,São Carlos,,,,,,R$ 52.838.234,38.02%,16.332,549_São_Carlos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/549_S%C3%A3o_Carlos.pdf
550,São Francisco,,,,,,R$ 1.098.837,84.22%,145,550_São_Francisco.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/550_S%C3%A3o_Francisco.pdf
551,São João da Boa Vista,,,,,,R$ 18.794.897,29.43%,7.087,551_São_João_da_Boa_Vista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/551_S%C3%A3o_Jo%C3%A3o_da_Boa_Vista.pdf
552,São João das Duas Pontes,,,,,,R$ 1.698.558,89.64%,249,552_São_João_das_Duas_Pontes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/552_S%C3%A3o_Jo%C3%A3o_das_Duas_Pontes.pdf
553,São João de Iracema,,,,,,R$ 1.038.875,46.47%,216,553_São_João_de_Iracema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/553_S%C3%A3o_Jo%C3%A3o_de_Iracema.pdf
